employee_id,full_name,email_address,dependent_1,dependent_2,phone_number,phone_number_1,department_name,city,country,hire_date
1000,Brittany Collins,rcharles@example.org,Debra Butler MD,Amy Klein,+1-617-622-0657x892,(535)996-4205,Translator,Port Oliviafurt,Lao People's Democratic Republic,2022-05-16
1001,Jason Perkins,tinasteele@example.org,Wesley Fernandez,Teresa Hoffman,229-582-6538x45456,(535)996-4205,Psychotherapist,Port Oliviafurt,Lao People's Democratic Republic,2017-04-02
1002,Brandon Flores,nvega@example.com,Wesley Fernandez,Teresa Hoffman,538-979-5928,(535)996-4205,"Conservator, furniture",Lake Christine,China,2015-08-07
1003,Allen Mitchell,mcculloughamanda@example.com,Beth Gray,Samantha Kelley,(483)810-7248,(535)996-4205,Commercial horticulturist,Port Oliviafurt,Lao People's Democratic Republic,2020-11-29
1004,John Smith,schmittderek@example.org,Beth Gray,Samantha Kelley,414-406-6312,+1-455-316-2986x08014,Health and safety adviser,Port Oliviafurt,Lao People's Democratic Republic,2023-08-30
1005,Cynthia Arias,travisthompson@example.com,Beth Gray,Samantha Kelley,(400)840-8497,311.994.0300x911,Fish farm manager,Lake Christophermouth,Sweden,2024-10-23
1006,Yvonne Gordon,marksjanet@example.net,Mary Williams,Christian Taylor,(443)535-6675x60478,(442)801-5152,Materials engineer,Obrienstad,Belgium,2017-07-11
1007,Charles Moore,marilynfoster@example.org,Mary Williams,Christian Taylor,001-984-438-9193,(442)801-5152,Ship broker,Obrienstad,Belgium,2019-12-29
1008,Brianna Stewart,johnbaker@example.net,Mary Williams,Christian Taylor,+1-648-376-2710,981.780.0222x68720,"Conservator, furniture",Lake Christine,China,2016-09-02
1009,Michael Wiley,dawn24@example.org,Mary Williams,Christian Taylor,(708)689-3488x128,+1-897-895-1022x051,Ship broker,Obrienstad,Belgium,2022-03-18
1010,Sierra Medina,cameron10@example.org,Mary Williams,Christian Taylor,235-598-6285x7040,+1-897-895-1022x051,Materials engineer,Obrienstad,Belgium,2016-05-13
1011,Richard Morgan,shawnkelly@example.org,James Pitts,Jennifer Bennett,471.395.5398x101,+1-530-614-6682x1898,Health and safety adviser,Port Oliviafurt,Lao People's Democratic Republic,2022-09-10
1012,April Jones,nolanrandall@example.com,Karen Smith,Jennifer Bennett,788.790.8333x612,+1-530-614-6682x1898,Ship broker,Obrienstad,Belgium,2025-04-20
1013,Katrina Smith,vancejohn@example.net,Kimberly Castillo,Christine Payne,+1-979-449-9679,+1-530-614-6682x1898,Health and safety adviser,Port Oliviafurt,Lao People's Democratic Republic,2022-08-06
1014,John Taylor,xcruz@example.net,Jesse Nelson,Christine Payne,663-487-8458x421,+1-530-614-6682x1898,Psychiatric nurse,Lake Christophermouth,Sweden,2016-09-19
