dependent,dependent_1,dependent_2
Rhonda Oneal,Debra Butler MD,Amy Klein
Diana Anderson,Wesley Fernandez,Teresa Hoffman
Christopher Thompson,Wesley Fernandez,Teresa Hoffman
Joshua Miller,Beth Gray,Samantha Kelley
Dorothy Ortiz,Beth Gray,Samantha Kelley
Kayla Taylor,Mary Williams,Christian Taylor
Darren Larsen,Mary Williams,Christian Taylor
Robert George,Mary Williams,Christian Taylor
Frederick Thompson,Mary Williams,Christian Taylor
David Newton,James Pitts,Jennifer Bennett
Amy Moon,Karen Smith,Jennifer Bennett
Michael Powell,Kimberly Castillo,Christine Payne
Nathaniel Yates,Jesse Nelson,Christine Payne
Robert Garcia,Jesse Nelson,Christine Payne
Thomas Byrd,Megan Kirby,Christine Payne
Megan Forbes,Corey Williams,Kevin Oconnor
Candice Peck,Corey Williams,Kevin Oconnor
Mary Obrien,Melissa Vasquez,Christopher Taylor
Nancy Chavez,Brittany Walter,Christopher Taylor
Christine Rosario,Dr. Jane Curry,Karen Robinson
Christopher Velasquez,Dr. Jane Curry,Karen Robinson
James Boyle,Kevin Murphy,Karen Robinson
Michael Davis,Debra Vega,Karen Robinson
Amanda Brown,Debra Vega,Karen Robinson
Laura Jones,Gregory Miles,Crystal Hudson
Summer Ford,Stephanie Terry,Thomas Hall
Ana Hanna,Stephanie Terry,Thomas Hall
Stephanie Lucas MD,Kayla Jackson,Thomas Hall
Linda Camacho,Kayla Jackson,Thomas Hall
Linda Richmond,Ian Edwards,Thomas Hall
Travis Thompson,Miguel Walters,Thomas Hall
Rebekah Morrison,Christopher Roberts,Thomas Salinas
Dawn Herring,Christopher Roberts,Thomas Salinas
Dr. Brittany Kent,Wendy Munoz,Thomas Salinas
Paige Coleman,Wendy Munoz,Thomas Salinas
Hannah Carrillo,Wendy Munoz,Thomas Salinas
Shane Johnson,Wendy Munoz,Thomas Salinas
Shawn Parker,Kristen Williams,Thomas Salinas
Cesar Tate,Kristen Williams,Thomas Salinas
Dylan Lopez,Janet Hoffman,Candice Sosa
Donna Mcknight,Mitchell Brown,Anthony Wells
David Booker,Marco Osborn,Melissa Rogers
Paul Wolf,Tammy Chambers,Melissa Rogers
Linda Kirby,David Brooks,Melissa Rogers
Jonathan Keith,John Holmes,Kari Mathis
Crystal Best,Laura Alvarado,Cynthia Barnett
Leslie Keller,John Walsh,Cynthia Barnett
Mitchell Rivera,John Walsh,Cynthia Barnett
Susan Watson,Jason Jenkins,Cynthia Barnett
Spencer Larsen,Robert King,Cynthia Barnett
Allison Cooper,Robert King,Cynthia Barnett
Jordan Browning,Laura Ingram,Cynthia Barnett
Leslie Crawford,Rebecca Robbins,Cory Hernandez
Melissa Russell,Rebecca Robbins,Cory Hernandez
Jennifer Howell,Rebecca Robbins,Cory Hernandez
Melissa Moody,Tracy Flores,Cory Hernandez
Kimberly Stevenson,Tracy Flores,Cory Hernandez
Chloe Andersen,Christopher Levine,Cory Hernandez
Jillian Moore,Christopher Levine,Cory Hernandez
Brian Morris,Christopher Levine,Cory Hernandez
Keith Bishop,Paul Jackson,Cory Hernandez
Richard Robinson,Paul Jackson,Cory Hernandez
Alexis Martinez,Samuel Johnson,Cory Hernandez
Melody Schwartz,Samuel Johnson,Cory Hernandez
Mary Singleton,Lori Mccullough,Cory Hernandez
Timothy Boyle,Jonathan Robinson,Travis Galvan
Ashlee Bridges,Sarah Stewart,Seth Greer
Michael Kelly,Amanda Villarreal,Seth Greer
Dr. Susan Campbell,Amanda Villarreal,Seth Greer
Chelsea Howard,Amanda Villarreal,Seth Greer
Robert Elliott,Ian James,James Cox
Molly Smith,Ian James,James Cox
Dr. Alicia Hayden,Ian James,James Cox
Peggy Roberts,Andrew Kennedy,Timothy Taylor
Steven Williams,Kenneth Foley,Timothy Taylor
Elizabeth Brown,John Lyons,Timothy Taylor
Tyler Ellis,John Lyons,Timothy Taylor
Peter Clark,John Lyons,Timothy Taylor
Brett Schroeder,John Lyons,Timothy Taylor
Morgan Jacobs,John Lyons,Timothy Taylor
